copies,threads,values
0,0,8.006898620275948e-06
0,2,1.3359508098380326e-05
0,4,1.429248150369926e-05
0,6,1.4609338132373526e-05
0,8,1.533287342531494e-05
0,10,1.5908018396320733e-05
0,12,1.8123475304939015e-05
1,0,1.705510897820436e-05
1,2,1.5074705058988205e-05
1,4,1.6424035192961407e-05
1,6,1.816040791841632e-05
1,8,1.9850749850029997e-05
1,10,1.9821755648870227e-05
1,12,2.0155368926214762e-05
2,0,2.8897300539892023e-05
2,2,2.7822775444911024e-05
2,4,2.029418116376725e-05
2,6,1.9626614677064583e-05
2,8,1.9812137572485504e-05
2,10,2.048562287542491e-05
2,12,2.2315416916616674e-05
3,0,4.129300139972008e-05
3,2,2.8888842231553693e-05
3,4,1.9843831233753253e-05
3,6,2.1149730053989206e-05
3,8,2.1185842831433712e-05
3,10,2.150899820035993e-05
3,12,2.342801439712057e-05
4,0,5.328118376324735e-05
4,2,4.1284203159368126e-05
4,4,3.0480303939212157e-05
4,6,2.431075784843031e-05
4,8,2.37248550289942e-05
4,10,2.2478364327134576e-05
4,12,2.4679004199160173e-05
5,0,6.514211157768444e-05
5,2,4.309266146770645e-05
5,4,3.288176364727055e-05
5,6,2.4136832633473305e-05
5,8,2.3690401919616073e-05
5,10,2.5390481903619276e-05
5,12,2.5446170765846837e-05
6,0,7.677396520695861e-05
6,2,5.503533293341332e-05
6,4,3.615136972605479e-05
6,6,3.2294961007798444e-05
6,8,2.7390641871625682e-05
6,10,3.071283743251349e-05
6,12,2.72373925214957e-05
7,0,8.852323535292941e-05
7,2,5.733585282943409e-05
7,4,3.625856828634273e-05
7,6,3.4919956008798244e-05
7,8,2.8742351529694067e-05
7,10,2.8854209158168367e-05
7,12,2.61130373925215e-05
8,0,0.00010020841831633674
8,2,6.877992401519696e-05
8,4,4.582157568486303e-05
8,6,3.645912817436512e-05
8,8,3.657046590681864e-05
8,10,3.274853029394121e-05
8,12,3.450873825234953e-05
9,0,0.00011235128974205164
9,2,7.179396120775843e-05
9,4,5.066106778644272e-05
9,6,3.965948810237952e-05
9,8,4.118428314337133e-05
9,10,3.3514717056588685e-05
9,12,3.404339132173565e-05
10,0,0.0001246913817236553
10,2,8.289406118776244e-05
10,4,5.269132173565287e-05
10,6,4.2366586682663483e-05
10,8,4.295548890221955e-05
10,10,4.040645870825835e-05
10,12,3.7619636072785446e-05
11,0,0.00013676292741451708
11,2,8.474573085382924e-05
11,4,5.350325934813037e-05
11,6,4.168444311137774e-05
11,8,4.365396920615876e-05
11,10,4.577906418716258e-05
11,12,3.8649670065986796e-05
12,0,0.00014929850029993998
12,2,9.718394321135771e-05
12,4,6.292709458108377e-05
12,6,4.9412497500499903e-05
12,8,4.4082443511297745e-05
12,10,4.83870225954809e-05
12,12,4.299108178364327e-05
13,0,0.0001618
13,2,9.910287942411516e-05
13,4,6.719790041991601e-05
13,6,5.187708458308338e-05
13,8,4.6879604079184165e-05
13,10,5.1781343731253744e-05
13,12,4.718308338332334e-05
14,0,0.00017479046190761846
14,2,0.0001110268946210758
14,4,7.038792241551688e-05
14,6,5.478610277944412e-05
14,8,4.960833833233354e-05
14,10,5.34378124375125e-05
14,12,4.830307938412317e-05
15,0,0.00018741869626074788
15,2,0.00011258312337532493
15,4,7.076644671065786e-05
15,6,5.797372525494901e-05
15,8,4.834827034593082e-05
15,10,5.379176164767046e-05
15,12,4.813273345330934e-05
16,0,0.0002005565686862628
16,2,0.00012503207358528296
16,4,7.996412717456509e-05
16,6,6.028842231553688e-05
16,8,5.818896220755848e-05
16,10,5.287834433113376e-05
16,12,5.368484303139372e-05
17,0,0.0002136921015796841
17,2,0.00012786492701459708
17,4,8.498494301139773e-05
17,6,5.9277204559088196e-05
17,8,6.110971805638872e-05
17,10,5.5695560887822435e-05
17,12,5.421011797640473e-05
18,0,0.00022694659068186362
18,2,0.00013939120175964805
18,4,8.711287742451511e-05
18,6,6.706872625474906e-05
18,8,6.243653269346132e-05
18,10,5.900423915216957e-05
18,12,6.014851029794042e-05
19,0,0.00024016784643071383
19,2,0.00014247612477504497
19,4,8.804507098580285e-05
19,6,7.084055188962206e-05
19,8,6.436938612277544e-05
19,10,5.6421255748850246e-05
19,12,5.893197360527895e-05
