copies,splits,threads,values
0,1,0,8.017416516696663e-06
0,1,2,1.3724475104979007e-05
0,1,4,1.4499240151969608e-05
0,1,6,1.4980163967206558e-05
0,1,8,1.5955728854229153e-05
0,1,10,1.6756268746250748e-05
0,1,12,1.786720655868827e-05
1,2,0,3.3906938612277545e-05
1,2,2,3.08128374325135e-05
1,1,4,3.2505458908218346e-05
1,2,6,3.3187462507498506e-05
1,1,8,3.380295940811838e-05
1,2,10,3.628958208358328e-05
1,1,12,3.782995400919815e-05
2,3,0,6.285280943811238e-05
2,2,2,5.673239352129576e-05
2,2,4,4.981581683663267e-05
2,3,6,4.991581683663268e-05
2,2,8,5.141703659268148e-05
2,3,10,5.15633673265347e-05
2,2,12,5.30372325534893e-05
3,4,0,8.910575884823037e-05
3,4,2,6.836666666666667e-05
3,3,4,5.899822035592881e-05
3,3,6,6.132397520495899e-05
3,4,8,6.262859428114377e-05
3,4,10,6.449326134773044e-05
3,4,12,6.316504699060189e-05
4,5,0,0.0001177118776244751
4,3,2,9.629144171165766e-05
4,3,4,8.065864827034595e-05
4,4,6,7.642865426914617e-05
4,4,8,7.750315936812641e-05
4,4,10,7.710805838832234e-05
4,5,12,7.832177564487102e-05
5,5,0,0.00014883971205758846
5,4,2,0.00011273113377324541
5,5,4,9.705860827834434e-05
5,4,6,8.846700659868028e-05
5,5,8,9.348230353929214e-05
5,6,10,9.458318336332731e-05
5,6,12,9.531323735252948e-05
6,4,0,0.00018060639872025596
6,6,2,0.00014361587682463507
6,6,4,0.00011389766046790642
6,5,6,0.000115271025794841
6,7,8,0.00011227158568286341
6,6,10,0.00011371969606078784
6,4,12,0.00011376658668266348
7,6,0,0.00021402765446910626
7,5,2,0.00016259716056788646
7,3,4,0.00012426024795040994
7,3,6,0.0001309402719456109
7,7,8,0.00012408054389122176
7,3,10,0.00013114721055788842
7,4,12,0.00012925182963407318
8,9,0,0.00024832123575284945
8,6,2,0.0001966491301739652
8,4,4,0.00014900689862027596
8,4,6,0.00014194017196560692
8,4,8,0.00014492739452109574
8,4,10,0.00014483917216556686
8,4,12,0.00014616790641871631
9,7,0,0.00028621591681663664
9,7,2,0.00021877090581883622
9,3,4,0.00018379298140371923
9,4,6,0.00015908490301939614
9,5,8,0.00015760377924415117
9,5,10,0.00015981217756448707
9,5,12,0.00016124631073785245
10,7,0,0.00032903915216956606
10,4,2,0.00025811729654069183
10,3,4,0.0001871133573285343
10,4,6,0.000175375724855029
10,5,8,0.00017656970605878824
10,5,10,0.00017932643471305738
10,4,12,0.00018153803239352132
11,9,0,0.0003737603679264147
11,6,2,0.00026691167766446707
11,4,4,0.00018974409118176368
11,5,6,0.0001786632273545291
11,6,8,0.000189894701059788
11,6,10,0.00019018978204359124
11,5,12,0.00019381175764847028
12,13,0,0.00041765216956608683
12,4,2,0.0003077185962807439
12,4,4,0.00021911385722855428
12,6,6,0.0002108742651469706
12,5,8,0.00021224227154569087
12,5,10,0.0002160908218356329
12,6,12,0.00021730719856028797
13,12,0,0.0004642573285342932
13,4,2,0.0003470379924015197
13,6,4,0.00025083579284143176
13,4,6,0.0002258156368726255
13,4,8,0.00022801965606878623
13,4,10,0.00022873547290541888
13,4,12,0.0002291872025594881
14,8,0,0.0005128588082383524
14,6,2,0.0003836469906018796
14,6,4,0.00028066970605878825
14,5,6,0.00024054815036992597
14,4,8,0.00024036766646670668
14,5,10,0.00024087496500699862
14,4,12,0.00024032571485702853
15,10,0,0.0005752902819436113
15,7,2,0.0003914155168966206
15,4,4,0.0002809232953409318
15,5,6,0.0002718370925814837
15,8,8,0.00025124331133773246
15,6,10,0.00027249260147970403
15,7,12,0.000273695200959808
16,16,0,0.0006164601079784043
16,5,2,0.0004293858828234352
16,4,4,0.0003194507698460308
16,5,6,0.00027255448910217954
16,5,8,0.00028339588082383524
16,5,10,0.00028694789042191563
16,5,12,0.0002861883823235353
17,16,0,0.0006716907418516298
17,6,2,0.0004368244751049791
17,5,4,0.0003475182363527295
17,6,6,0.00026745524895021
17,6,8,0.0002987573685262948
17,6,10,0.0002970941011797641
17,5,12,0.00030219460107978397
18,16,0,0.0007281035792841432
18,6,2,0.00048567536492701463
18,5,4,0.00037258806238752253
18,5,6,0.00031315844831033787
18,6,8,0.00032402675464907017
18,6,10,0.00032693121375724864
18,6,12,0.0003319932613477304
19,15,0,0.0007945107778444309
19,6,2,0.0005326526894621076
19,4,4,0.0003686311937612477
19,6,6,0.00034929184163167364
19,6,8,0.00034065964807038587
19,6,10,0.0003418845030993801
19,6,12,0.00034866716656668665
